task_group,task_id,episode_ix,sum_reward,max_reward,success,episode_length,min_velocity,avg_velocity,max_velocity,min_eef_height,avg_eef_height,max_eef_height,condition
libero_object,0,0,1.0,1.0,True,143,0.0,0.010037006142437188,0.295966708365232,0.04282864689172687,0.2088903927200135,0.26672143049537733,xvla-fast-5-4
libero_object,0,1,1.0,1.0,True,150,0.0,0.00760239228215843,0.012149963097919686,0.043967228815070675,0.20310777842047886,0.26411642920660583,xvla-fast-5-4
libero_object,0,2,1.0,1.0,True,152,0.0,0.00965509781056162,0.302645256435642,0.044405011269977826,0.21020095640774636,0.2820488221720995,xvla-fast-5-4
libero_object,0,3,1.0,1.0,True,170,0.0,0.006923312811279879,0.011540733455284138,0.04418593111389059,0.19906547796143678,0.27139618033558477,xvla-fast-5-4
libero_object,0,4,1.0,1.0,True,170,0.0,0.00696080845138421,0.011426315295532166,0.04384972469062165,0.2004715799814324,0.266966644748617,xvla-fast-5-4
libero_object,1,0,1.0,1.0,True,134,0.0,0.007107542983824206,0.011950369591863231,0.008790220014670017,0.1627727832053155,0.2600158549554027,xvla-fast-5-4
libero_object,1,1,1.0,1.0,True,130,0.0,0.00938800131016518,0.29991381164187497,0.008713058924929615,0.1627068916139678,0.26127947572964005,xvla-fast-5-4
libero_object,1,2,1.0,1.0,True,130,0.0,0.00918723600648506,0.2964227094230885,0.00924831117442454,0.1600741766302843,0.26127947572964005,xvla-fast-5-4
libero_object,1,3,1.0,1.0,True,132,0.0,0.007058094798662443,0.011935925864567114,0.008457831031539562,0.15405963713649662,0.26101831844262297,xvla-fast-5-4
libero_object,1,4,1.0,1.0,True,132,0.0,0.009242504871460491,0.29264402011553103,0.008690412741143252,0.15299540839394363,0.26127947572964005,xvla-fast-5-4
libero_object,2,0,1.0,1.0,True,127,0.0,0.007010756504672323,0.011821091477085453,0.11225259787341699,0.22923153033989546,0.3070347090243051,xvla-fast-5-4
libero_object,2,1,1.0,1.0,True,127,0.0,0.007161475589080971,0.012561971425235907,0.11225969132025553,0.2309857581379746,0.31159708946795367,xvla-fast-5-4
libero_object,2,2,1.0,1.0,True,134,0.0,0.006868177277875763,0.011621988105111343,0.1124802580431803,0.23470931810757248,0.33618337719545666,xvla-fast-5-4
libero_object,2,3,1.0,1.0,True,119,0.0,0.00977759879189397,0.28337811623988035,0.11306012518876808,0.2329509072462203,0.31099251465755673,xvla-fast-5-4
libero_object,2,4,1.0,1.0,True,127,0.0,0.007058866041720687,0.011867179240015303,0.11237934819638634,0.234636674700378,0.32163611426732797,xvla-fast-5-4
libero_object,3,0,1.0,1.0,True,129,0.0,0.009393126007673336,0.2993324726819739,0.06865192359716775,0.20589667486100516,0.2931647387196359,xvla-fast-5-4
libero_object,3,1,1.0,1.0,True,134,0.0,0.006843954439146467,0.011026631630461383,0.06484724086809213,0.19383400403593548,0.2715022784548155,xvla-fast-5-4
libero_object,3,2,1.0,1.0,True,175,0.0,0.006251355628534827,0.010643800615479053,0.06656747922042065,0.17617779414543353,0.27398975722210483,xvla-fast-5-4
libero_object,3,3,1.0,1.0,True,136,0.0,0.008941278021577403,0.2910592102250027,0.07681576474204897,0.206898669642054,0.2884835315318843,xvla-fast-5-4
libero_object,3,4,1.0,1.0,True,137,0.0,0.006876564582860143,0.01131017608017096,0.07127227922112142,0.20662440081345151,0.30387338735474956,xvla-fast-5-4
libero_object,4,0,1.0,1.0,True,157,0.0,0.008465121183936187,0.299328903854233,0.11279682316684748,0.23253250929560276,0.2980144506566572,xvla-fast-5-4
libero_object,4,1,1.0,1.0,True,158,0.0,0.006768038853938919,0.011015268767946562,0.11317665309994136,0.2402321753730873,0.3127018432041785,xvla-fast-5-4
libero_object,4,2,1.0,1.0,True,160,0.0,0.006673881484094453,0.011090028974413956,0.1121978251235192,0.23526701879047596,0.3067134848679941,xvla-fast-5-4
libero_object,4,3,1.0,1.0,True,148,0.0,0.009485713263402237,0.29487091854970904,0.11081678103846017,0.25500020457386957,0.3448582393669519,xvla-fast-5-4
libero_object,4,4,1.0,1.0,True,157,0.0,0.0068240773035029454,0.010803284309858174,0.11141141918872431,0.23377587879023268,0.29927564430720693,xvla-fast-5-4
libero_object,5,0,1.0,1.0,True,129,0.0,0.006978396624121368,0.01108831750634922,0.053486059895016994,0.17960790961067308,0.26082365712412425,xvla-fast-5-4
libero_object,5,1,1.0,1.0,True,123,0.0,0.009849847095672805,0.31360338845342317,0.04387024786563806,0.17616859197138027,0.26127947572964005,xvla-fast-5-4
