task_group,task_id,episode_ix,sum_reward,max_reward,success,episode_length,min_velocity,avg_velocity,max_velocity,min_eef_height,avg_eef_height,max_eef_height,condition
libero_object,0,0,0.0,0.0,False,280,0.0,0.0065000548723917,0.013249888802917439,0.024793177009438866,0.12890679181876297,0.2677142527259101,smolvla-slow-10-2
libero_object,0,1,1.0,1.0,True,197,0.0,0.009167555270492548,0.29186090337629633,0.04806495332348586,0.18027974965385718,0.2831924116619392,smolvla-slow-10-2
libero_object,0,2,1.0,1.0,True,123,0.0,0.011651213983467272,0.29044977561652957,0.04322424804425311,0.20047340639519567,0.2636783503740685,smolvla-slow-10-2
libero_object,0,3,0.0,0.0,False,280,0.0,0.008562286537100002,0.012850416471492078,0.031054263116868375,0.15444791782834114,0.2730392265748228,smolvla-slow-10-2
libero_object,0,4,1.0,1.0,True,120,0.0,0.011945108824966147,0.3015254083041212,0.05518725164571486,0.21146736521867304,0.27670632682492324,smolvla-slow-10-2
libero_object,1,0,1.0,1.0,True,122,0.0,0.01077290109905051,0.29429526377072757,0.009661805854307703,0.1760859960992413,0.2651855486236346,smolvla-slow-10-2
libero_object,1,1,1.0,1.0,True,127,0.0,0.008448659143655723,0.013306580209801003,0.009432144252655178,0.1717366751921243,0.2633539724676023,smolvla-slow-10-2
libero_object,1,2,1.0,1.0,True,160,0.0,0.00958659985674862,0.30662531468889953,0.010928857313478271,0.13762470730772525,0.26127947572964005,smolvla-slow-10-2
libero_object,1,3,0.0,0.0,False,280,0.0,0.005499092754988303,0.013506668280027554,0.009732127429121759,0.06803430483093562,0.2606811149508278,smolvla-slow-10-2
libero_object,1,4,1.0,1.0,True,109,0.0,0.008350839601772016,0.012595144339130813,0.009521893421972474,0.1609499276895393,0.26084724618197025,smolvla-slow-10-2
libero_object,2,0,1.0,1.0,True,113,0.0,0.01111816109596436,0.31158979015355653,0.11213283389098944,0.2280155860212461,0.30568628874820136,smolvla-slow-10-2
libero_object,2,1,1.0,1.0,True,120,0.0,0.008133646873971988,0.012661452179759152,0.11085078956045383,0.22212008384429424,0.3157914494284456,smolvla-slow-10-2
libero_object,2,2,1.0,1.0,True,117,0.0,0.008252757776291659,0.012773097027172838,0.11299752131796068,0.23042283194261398,0.3162802655390465,smolvla-slow-10-2
libero_object,2,3,1.0,1.0,True,113,0.0,0.0111954815811933,0.294696158903851,0.1117471192265435,0.2373634990330529,0.3388952796988405,smolvla-slow-10-2
libero_object,2,4,1.0,1.0,True,103,0.0,0.011441286850161457,0.3045448891085762,0.11145654277996014,0.22136556361287094,0.28496726866190325,smolvla-slow-10-2
libero_object,3,0,1.0,1.0,True,127,0.0,0.009912725775459926,0.28711839963157476,0.06941250218894927,0.19681656518304114,0.2881528912698194,smolvla-slow-10-2
libero_object,3,1,0.0,0.0,False,280,0.0,0.005319931550115477,0.01130683299244443,0.012861788353917325,0.12683454524718568,0.26107082037470386,smolvla-slow-10-2
libero_object,3,2,1.0,1.0,True,114,0.0,0.011114587313752498,0.2912342983277342,0.06519026148227672,0.19959342172767713,0.2766143490034344,smolvla-slow-10-2
libero_object,3,3,0.0,0.0,False,280,0.0,0.005877512449161512,0.011931585441251173,0.06671447073339604,0.13468670654857845,0.26132535571665794,smolvla-slow-10-2
libero_object,3,4,1.0,1.0,True,124,0.0,0.007877142353874529,0.011295911365017725,0.06602353343134751,0.20165486948779254,0.2800223806765421,smolvla-slow-10-2
libero_object,4,0,1.0,1.0,True,134,0.0,0.008585015165374446,0.012550436386937593,0.11789837200471001,0.2510407574881839,0.3323058530424263,smolvla-slow-10-2
libero_object,4,1,1.0,1.0,True,131,0.0,0.010694973762710948,0.2823101711676558,0.11250064081907293,0.24762094427472509,0.33114425633136535,smolvla-slow-10-2
libero_object,4,2,1.0,1.0,True,147,0.0,0.007635249477008073,0.013111233148748416,0.11259839272722698,0.2415798312379414,0.3250921429346132,smolvla-slow-10-2
libero_object,4,3,1.0,1.0,True,135,0.0,0.010292254543836261,0.2975191038740164,0.1125717230532335,0.2397468387727244,0.3094992089096392,smolvla-slow-10-2
libero_object,4,4,1.0,1.0,True,135,0.0,0.008175812518983448,0.01256480355012102,0.11105336092578198,0.23670411708552727,0.3128096475611363,smolvla-slow-10-2
libero_object,5,0,1.0,1.0,True,121,0.0,0.00799144022781483,0.013305401836471222,0.051319077264538854,0.1814906648371548,0.26108644368986,smolvla-slow-10-2
libero_object,5,1,1.0,1.0,True,104,0.0,0.01130560095280663,0.28848285122310924,0.06919511483631922,0.18592487907325642,0.26143283003962314,smolvla-slow-10-2
libero_object,5,2,1.0,1.0,True,124,0.0,0.010058885878776376,0.29572105472320553,0.06354957692481411,0.183184520814688,0.26127947572964005,smolvla-slow-10-2
libero_object,5,3,1.0,1.0,True,161,0.0,0.0067793027266957176,0.012748761555138774,0.04481006449438958,0.18728546279422276,0.26026411910452296,smolvla-slow-10-2
libero_object,5,4,1.0,1.0,True,110,0.0,0.010691672754418307,0.292964082557605,0.056591872050334086,0.17408820792729118,0.26138026205352005,smolvla-slow-10-2
libero_object,6,0,1.0,1.0,True,148,0.0,0.011139663318020226,0.30901502475733583,0.009232523641426543,0.2106590390587537,0.32025356166951824,smolvla-slow-10-2
libero_object,6,1,1.0,1.0,True,149,0.0,0.008936831674706089,0.012942660580754592,0.008363703425036645,0.1988364153873215,0.3111211307760349,smolvla-slow-10-2
