task_group,task_id,episode_ix,sum_reward,max_reward,success,episode_length,min_velocity,avg_velocity,max_velocity,min_eef_height,avg_eef_height,max_eef_height,condition
libero_object,0,0,1.0,1.0,True,144,0.0,0.009990833547810229,0.29656320965350985,0.043214395937656386,0.20918641132994711,0.268231560509477,xvla-down-10-6
libero_object,0,1,1.0,1.0,True,148,0.0,0.007783876831531669,0.011580281381292098,0.04351666688224777,0.2056727483598099,0.26740765076262496,xvla-down-10-6
libero_object,0,2,1.0,1.0,True,145,0.0,0.010045899961550453,0.3028103570092114,0.04268106141932293,0.21071539232346126,0.27647984114397495,xvla-down-10-6
libero_object,0,3,1.0,1.0,True,171,0.0,0.006939637350135878,0.01121198836482487,0.044082100555676726,0.19963227355361907,0.27119388535596667,xvla-down-10-6
libero_object,0,4,1.0,1.0,True,176,0.0,0.0067795631045596974,0.011403668940746552,0.04419087373783151,0.19895834850120184,0.27133681631329026,xvla-down-10-6
libero_object,1,0,1.0,1.0,True,138,0.0,0.00704506478458248,0.011629002649866443,0.008679154373076231,0.1647934832560658,0.26003078665157625,xvla-down-10-6
libero_object,1,1,1.0,1.0,True,130,0.0,0.009459564042310522,0.3008006470461556,0.008909784035331741,0.16484072203216688,0.26127947572964005,xvla-down-10-6
libero_object,1,2,1.0,1.0,True,131,0.0,0.006858242498520894,0.011873037816055617,0.009132643886683292,0.16118488365386668,0.26077374658501623,xvla-down-10-6
libero_object,1,3,1.0,1.0,True,131,0.0,0.007202547300245734,0.012149373606350745,0.008689268720226517,0.15726279788860617,0.26086274575505985,xvla-down-10-6
libero_object,1,4,1.0,1.0,True,132,0.0,0.009309376214095513,0.29417711708808336,0.008593904103448985,0.15493677308861042,0.26127947572964005,xvla-down-10-6
libero_object,2,0,1.0,1.0,True,126,0.0,0.009430234850568616,0.30762342481509186,0.1121653456066417,0.22763195680163403,0.3023957641268976,xvla-down-10-6
libero_object,2,1,1.0,1.0,True,128,0.0,0.007118643779928823,0.011878848890276142,0.11255867133934833,0.23258741062878188,0.3169113864763709,xvla-down-10-6
libero_object,2,2,1.0,1.0,True,129,0.0,0.007003243965268048,0.01172755582531265,0.11268128245796777,0.23335892341763143,0.328053992451845,xvla-down-10-6
libero_object,2,3,1.0,1.0,True,120,0.0,0.009690437145433514,0.2861855103853239,0.11317245383167142,0.23141831601448357,0.30776726886781347,xvla-down-10-6
libero_object,2,4,1.0,1.0,True,128,0.0,0.006976033863409793,0.012468536097003352,0.11228346208870309,0.2353689708179797,0.32740181039067895,xvla-down-10-6
libero_object,3,0,1.0,1.0,True,129,0.0,0.009395870578769151,0.30002464222043707,0.06914985989064831,0.20539874587153564,0.2917810657265627,xvla-down-10-6
libero_object,3,1,1.0,1.0,True,133,0.0,0.006919331307217741,0.011022418996701077,0.06562219107805818,0.1965194278898484,0.2774651645761246,xvla-down-10-6
libero_object,3,2,1.0,1.0,True,231,0.0,0.0056340282005802236,0.01044488570213612,0.06703633545696078,0.16097025552248817,0.2666210631633573,xvla-down-10-6
libero_object,3,3,1.0,1.0,True,138,0.0,0.00879686586376571,0.2927814866309343,0.07782433829658568,0.2066605130750101,0.2862606258526259,xvla-down-10-6
libero_object,3,4,1.0,1.0,True,131,0.0,0.009296372030294348,0.2965170771362386,0.0721141525145649,0.2079664673326104,0.2955940055485387,xvla-down-10-6
libero_object,4,0,1.0,1.0,True,159,0.0,0.00649789204314732,0.010876194551589153,0.1131048129889366,0.23040825072764187,0.29343111712554937,xvla-down-10-6
libero_object,4,1,1.0,1.0,True,158,0.0,0.008533517994942825,0.2902778216990064,0.11369347182972421,0.23854941171710298,0.30810044602449216,xvla-down-10-6
libero_object,4,2,1.0,1.0,True,160,0.0,0.006726496993527099,0.011399929292616037,0.11245138886690574,0.2344901742459739,0.30661390007513917,xvla-down-10-6
libero_object,4,3,1.0,1.0,True,149,0.0,0.00934701214927244,0.29600543495043274,0.11053162914715216,0.24882949810132682,0.33484582340029234,xvla-down-10-6
libero_object,4,4,1.0,1.0,True,158,0.0,0.006813985427337853,0.01194115080255634,0.11140159499487784,0.23659650048420083,0.3033643667656719,xvla-down-10-6
libero_object,5,0,1.0,1.0,True,129,0.0,0.006994929433452342,0.011286699930362222,0.054985970269043616,0.1801032495677122,0.26075987355267666,xvla-down-10-6
libero_object,5,1,1.0,1.0,True,124,0.0,0.009852653544112149,0.3165569940837261,0.04400430999419533,0.17688723922019228,0.26127947572964005,xvla-down-10-6
libero_object,5,2,1.0,1.0,True,141,0.0,0.0063438785976531985,0.010708069244545102,0.04356260196504223,0.1749109109686341,0.26088832092491737,xvla-down-10-6
libero_object,5,3,1.0,1.0,True,134,0.0,0.009202367814941319,0.28332178867785857,0.046818543502697416,0.1834974145437413,0.26127947572964005,xvla-down-10-6
libero_object,5,4,1.0,1.0,True,136,0.0,0.006980759923951156,0.010836479431317622,0.04669812038173306,0.1765293361518438,0.260517230964156,xvla-down-10-6
libero_object,6,0,1.0,1.0,True,159,0.0,0.009400669086148781,0.3113064357846595,0.008349328084240479,0.1897875201652314,0.26127947572964005,xvla-down-10-6
libero_object,6,1,1.0,1.0,True,162,0.0,0.007533064245220489,0.013442845965946585,0.009206800944164525,0.182356654271024,0.26056173113219916,xvla-down-10-6
libero_object,6,2,1.0,1.0,True,151,0.0,0.00782453216461671,0.013402208478681812,0.00922755367394669,0.1890107856819498,0.26568216679314005,xvla-down-10-6
libero_object,6,3,1.0,1.0,True,145,0.0,0.009897663113972879,0.30047129661403277,0.010654701150144011,0.18093387724258936,0.26127947572964005,xvla-down-10-6
libero_object,6,4,1.0,1.0,True,161,0.0,0.007212878015949977,0.01304194846457648,0.00945720611735984,0.1820356015051865,0.26041422003689363,xvla-down-10-6
libero_object,7,0,0.0,0.0,False,280,0.0,0.004712837021983122,0.012307215454933667,0.05512242368066407,0.1450573444974503,0.28729292227261016,xvla-down-10-6
libero_object,7,1,1.0,1.0,True,142,0.0,0.009798056959219481,0.3207540163018493,0.08942751710414232,0.22344954364049915,0.28589667803318697,xvla-down-10-6
libero_object,7,2,1.0,1.0,True,138,0.0,0.009854401096737495,0.3189977909829611,0.08933408516263584,0.21995130950124112,0.2808183188511676,xvla-down-10-6
libero_object,7,3,1.0,1.0,True,144,0.0,0.007481930564336641,0.011819999915202644,0.0935588534037566,0.22364681369045306,0.28442573592116105,xvla-down-10-6
libero_object,7,4,1.0,1.0,True,151,0.0,0.007106440281144645,0.01137058391124469,0.09410307340480384,0.2199571165141371,0.28033989975208073,xvla-down-10-6
libero_object,8,0,1.0,1.0,True,171,0.0,0.007247456675145229,0.012267339886567644,0.010617222896930012,0.1951612364051263,0.2880372134411774,xvla-down-10-6
libero_object,8,1,1.0,1.0,True,170,0.0,0.008936098111356823,0.2945070114298729,0.011479051236578067,0.19057639711850358,0.27010894066557145,xvla-down-10-6
libero_object,8,2,1.0,1.0,True,172,0.0,0.007268718140063296,0.011781309387951458,0.010019423639322164,0.19572314601451712,0.26304844527575383,xvla-down-10-6
libero_object,8,3,1.0,1.0,True,166,0.0,0.00933484486838912,0.3085651213303139,0.008489315017570817,0.20077365226325813,0.26878729964409476,xvla-down-10-6
libero_object,8,4,1.0,1.0,True,162,0.0,0.009329041091771977,0.2969022061600426,0.009346102057640332,0.185179599014999,0.26127947572964005,xvla-down-10-6
libero_object,9,0,1.0,1.0,True,128,0.0,0.00953057241026311,0.29996732370440415,0.09655706434706063,0.22089904866162902,0.27645355843624275,xvla-down-10-6
libero_object,9,1,1.0,1.0,True,134,0.0,0.006844079879159804,0.010820060137563238,0.0967509267774535,0.21930885988109686,0.28849094481673737,xvla-down-10-6
libero_object,9,2,1.0,1.0,True,126,0.0,0.009497356345548965,0.3021060637757252,0.09687636325734515,0.21556168541332393,0.27279336571930857,xvla-down-10-6
libero_object,9,3,1.0,1.0,True,129,0.0,0.007145100621897808,0.011869353233323077,0.09750036671619014,0.21962474838517645,0.2911027016109765,xvla-down-10-6
libero_object,9,4,1.0,1.0,True,125,0.0,0.007286785933102276,0.011383515435713679,0.09615453006864745,0.2187362690989092,0.2715913085336757,xvla-down-10-6
