task_group,task_id,episode_ix,sum_reward,max_reward,success,episode_length,min_velocity,avg_velocity,max_velocity,min_eef_height,avg_eef_height,max_eef_height,condition
libero_object,0,0,0.0,0.0,False,280,0.0,0.0074153529329668965,0.012887215119365766,0.04069294505116179,0.13777765300221187,0.2986686745950095,smolvla-random-6-a10
libero_object,0,1,0.0,0.0,False,280,0.0,0.0075481961709454315,0.013117868854298354,0.04818901758902509,0.15317225285405434,0.2816175163133775,smolvla-random-6-a10
libero_object,0,2,1.0,1.0,True,141,0.0,0.010784308834993268,0.29205903472500144,0.044707382829825754,0.21793533549157193,0.30474872402831876,smolvla-random-6-a10
libero_object,0,3,1.0,1.0,True,132,0.0,0.011236169757433828,0.27905605392012756,0.045421187639061694,0.2114063890429354,0.2938937541893164,smolvla-random-6-a10
libero_object,0,4,1.0,1.0,True,133,0.0,0.01109199353789213,0.3025743226259234,0.0522862403354136,0.20996030082127168,0.28206326279898714,smolvla-random-6-a10
libero_object,1,0,1.0,1.0,True,119,0.0,0.010645812310871465,0.3020932520420056,0.008655469973033583,0.1607152772600686,0.26127947572964005,smolvla-random-6-a10
libero_object,1,1,1.0,1.0,True,128,0.0,0.010260436419477619,0.2958814776200944,0.009501893896266628,0.16969594021217424,0.26127947572964005,smolvla-random-6-a10
libero_object,1,2,1.0,1.0,True,125,0.0,0.010198828138584842,0.3036941052343478,0.008487919363405233,0.14962436822850642,0.26127947572964005,smolvla-random-6-a10
libero_object,1,3,0.0,0.0,False,280,0.0,0.005628157076422588,0.012207681698866296,0.009170173226116546,0.09491496521204554,0.2612212030342198,smolvla-random-6-a10
libero_object,1,4,1.0,1.0,True,142,0.0,0.009101601315020877,0.29562293530976413,0.009098607915507359,0.16132839074728172,0.2623751566141428,smolvla-random-6-a10
libero_object,2,0,1.0,1.0,True,114,0.0,0.010922493424405209,0.3036860723758536,0.11248083166792859,0.23226483937109813,0.3192021266471514,smolvla-random-6-a10
libero_object,2,1,1.0,1.0,True,120,0.0,0.011278442594402258,0.32138992798756166,0.11149975950858686,0.23849088515194472,0.33065587714935685,smolvla-random-6-a10
libero_object,2,2,1.0,1.0,True,115,0.0,0.010876453348721659,0.2970635009222413,0.11265418560907343,0.23603153091692217,0.330202746865209,smolvla-random-6-a10
