task_group,task_id,episode_ix,sum_reward,max_reward,success,episode_length,min_velocity,avg_velocity,max_velocity,min_eef_height,avg_eef_height,max_eef_height,condition
libero_object,0,0,0.0,0.0,False,280,0.0,0.006411301773085457,0.012881389053791015,0.01443118332682193,0.11299868824656963,0.2635183865227294,smolvla-fast-10-4
libero_object,0,1,1.0,1.0,True,259,0.0,0.008926178097485856,0.287536376379192,0.07414895372402497,0.17404492269809207,0.288360823288595,smolvla-fast-10-4
libero_object,0,2,1.0,1.0,True,134,0.0,0.008483313794391389,0.012714798067340511,0.044683856969277666,0.19557721187425256,0.263765248259549,smolvla-fast-10-4
libero_object,0,3,1.0,1.0,True,114,0.0,0.01193009837677107,0.28697560041626036,0.05525288716738781,0.20506127903153873,0.26857573296011833,smolvla-fast-10-4
libero_object,0,4,1.0,1.0,True,118,0.0,0.011869717100084476,0.27617428829554436,0.05608626521159202,0.2111303522612001,0.28421160129245493,smolvla-fast-10-4
libero_object,1,0,0.0,0.0,False,280,0.0,0.005908382816361733,0.012533191680046196,0.010284149649604862,0.0982094377797825,0.2609787489079398,smolvla-fast-10-4
libero_object,1,1,0.0,0.0,False,280,0.0,0.004035965442261226,0.012573699915636102,0.014722420207185338,0.20336408572284997,0.2721584695105068,smolvla-fast-10-4
libero_object,1,2,1.0,1.0,True,139,0.0,0.009427386505937555,0.313500753714969,0.009449623997139445,0.16375193425133863,0.26127947572964005,smolvla-fast-10-4
libero_object,1,3,0.0,0.0,False,280,0.0,0.0061881702410567264,0.013250413845680995,0.009450252421227559,0.07597093770738185,0.2612541660929756,smolvla-fast-10-4
libero_object,1,4,0.0,0.0,False,280,0.0,0.005721811703674131,0.012644787577466983,0.010033314811082591,0.0810462543891072,0.26133067287783096,smolvla-fast-10-4
libero_object,2,0,1.0,1.0,True,137,0.0,0.008222018298657145,0.013698566836356776,0.11235757637186838,0.20755478170571806,0.2999089937531568,smolvla-fast-10-4
libero_object,2,1,1.0,1.0,True,109,0.0,0.011000587154229219,0.28917175072710166,0.11203471030817741,0.23275468078421738,0.30897678443887333,smolvla-fast-10-4
libero_object,2,2,1.0,1.0,True,111,0.0,0.010609967869350811,0.3063570227198482,0.11247804829237526,0.2174125708439603,0.2824441833387494,smolvla-fast-10-4
libero_object,2,3,0.0,0.0,False,280,0.0,0.004668651729282283,0.011928515624901468,0.10950650760040748,0.22021435830463623,0.29453064415907326,smolvla-fast-10-4
libero_object,2,4,1.0,1.0,True,175,0.0,0.009275833436833926,0.294239298654881,0.0919646135908135,0.19721515864449748,0.3032979458459231,smolvla-fast-10-4
libero_object,3,0,1.0,1.0,True,237,0.0,0.006957846929710864,0.2813203356755243,0.046655445645969046,0.14079035162761522,0.2630762991385671,smolvla-fast-10-4
libero_object,3,1,0.0,0.0,False,280,0.0,0.004923972905380369,0.01138751403072027,0.02246098848803768,0.0988059388149336,0.2607926078875942,smolvla-fast-10-4
libero_object,3,2,1.0,1.0,True,211,0.0,0.0068218900198614915,0.2789606184771369,0.06421512539645262,0.14711860656229023,0.27945479264219436,smolvla-fast-10-4
libero_object,3,3,0.0,0.0,False,280,0.0,0.0046334353641264365,0.011433708235225173,0.039294508238558595,0.10408790759423442,0.26104680566164506,smolvla-fast-10-4
libero_object,3,4,0.0,0.0,False,280,0.0,0.004815787661461934,0.011948959680007394,0.03506850815096996,0.14959635631305518,0.2615446393200643,smolvla-fast-10-4
libero_object,4,0,1.0,1.0,True,127,0.0,0.008880228744507905,0.011920001602153119,0.11314494647380281,0.24956441264139453,0.3382868398159016,smolvla-fast-10-4
libero_object,4,1,1.0,1.0,True,126,0.0,0.010762621267931491,0.29438778813185523,0.11302354663630257,0.23563605437972882,0.30692876135776637,smolvla-fast-10-4
libero_object,4,2,1.0,1.0,True,131,0.0,0.010095736905960948,0.30074051266949886,0.11357583404553835,0.23666448087049388,0.316020827112492,smolvla-fast-10-4
libero_object,4,3,0.0,0.0,False,280,0.0,0.005587071060501894,0.012408428892311293,0.08210397702856834,0.16136042799079472,0.26931458631092237,smolvla-fast-10-4
libero_object,4,4,1.0,1.0,True,124,0.0,0.010964897636020756,0.2964728955657569,0.1148661329773779,0.24922185895269217,0.33227365267763886,smolvla-fast-10-4
libero_object,5,0,0.0,0.0,False,280,0.0,0.004514857732591716,0.011772227295729017,0.01047252231501937,0.09372484937455025,0.26096716874560116,smolvla-fast-10-4
libero_object,5,1,0.0,0.0,False,280,0.0,0.004723486355746075,0.012366077516609925,0.00949305255922013,0.10510151567558058,0.260694228736362,smolvla-fast-10-4
libero_object,5,2,1.0,1.0,True,119,0.0,0.00990655174478041,0.3060764622064864,0.0696084495824605,0.18690226244908933,0.2613408364490687,smolvla-fast-10-4
libero_object,5,3,0.0,0.0,False,280,0.0,0.004613651866341531,0.011578162958726846,0.03642577109359206,0.10415611079043399,0.2614669846913448,smolvla-fast-10-4
libero_object,5,4,0.0,0.0,False,280,0.0,0.004570775647715959,0.011565637498056178,0.03945140030547725,0.11077267572289676,0.26126554804311386,smolvla-fast-10-4
libero_object,6,0,1.0,1.0,True,150,0.0,0.010962356240353759,0.30577560533367193,0.009952538954187864,0.19928679128793494,0.3280160276551104,smolvla-fast-10-4
libero_object,6,1,0.0,0.0,False,280,0.0,0.005233416676675468,0.012003801618966862,0.01713109248086929,0.1864113406616678,0.27206187555214734,smolvla-fast-10-4
libero_object,6,2,1.0,1.0,True,141,0.0,0.010514802049588767,0.3279310839836014,0.009929142305206182,0.17554650844672742,0.2705915793129252,smolvla-fast-10-4
libero_object,6,3,1.0,1.0,True,153,0.0,0.008579644826935478,0.013874838485186648,0.009110711310511305,0.18741542558395574,0.289273185906875,smolvla-fast-10-4
libero_object,6,4,1.0,1.0,True,147,0.0,0.008521928652433945,0.012832872739341255,0.009599521645653933,0.1826871632824252,0.28211561347025127,smolvla-fast-10-4
libero_object,7,0,1.0,1.0,True,128,0.0,0.009026613286016567,0.01279149009094568,0.0995277068711234,0.23816415667862073,0.3190357880898147,smolvla-fast-10-4
libero_object,7,1,1.0,1.0,True,119,0.0,0.011202934121399858,0.298518965817887,0.11430680515921028,0.23587166580098134,0.30860025274162206,smolvla-fast-10-4
libero_object,7,2,1.0,1.0,True,114,0.0,0.009198482744796897,0.01290232030405174,0.12886614325377105,0.25202961228460974,0.33078938286286186,smolvla-fast-10-4
libero_object,7,3,1.0,1.0,True,113,0.0,0.011695764154132161,0.2961822959826045,0.09794217686558872,0.2234740583479761,0.2888518842739193,smolvla-fast-10-4
libero_object,7,4,0.0,0.0,False,280,0.0,0.00635313928654202,0.012841075543925011,0.09107847231704305,0.17217830522540253,0.2650790966860127,smolvla-fast-10-4
libero_object,8,0,1.0,1.0,True,136,0.0,0.01135044085131553,0.3111266105449907,0.010074582672595256,0.19218547841054678,0.28739730844887484,smolvla-fast-10-4
libero_object,8,1,0.0,0.0,False,280,0.0,0.00799701631613471,0.012978961334015007,0.020554761751633496,0.1548264180972713,0.2735852484891275,smolvla-fast-10-4
libero_object,8,2,1.0,1.0,True,139,0.0,0.008838449844731554,0.01310097842959028,0.010863912215273372,0.18687151151867704,0.2629306095837023,smolvla-fast-10-4
libero_object,8,3,1.0,1.0,True,137,0.0,0.011522895546377476,0.3270816550884639,0.009379382689603852,0.19570100397352252,0.28526635276805706,smolvla-fast-10-4
libero_object,8,4,1.0,1.0,True,151,0.0,0.008491110762541604,0.012938216236345085,0.010907281911776187,0.195346387414252,0.28635132894240395,smolvla-fast-10-4
libero_object,9,0,0.0,0.0,False,280,0.0,0.004136720765133622,0.011007823869147912,0.11177235984721445,0.17977280925429584,0.26124923945130846,smolvla-fast-10-4
libero_object,9,1,0.0,0.0,False,280,0.0,0.0038028572512512925,0.011711627352985341,0.08944064759462399,0.1441560044573144,0.2615177435956784,smolvla-fast-10-4
