task_group,task_id,episode_ix,sum_reward,max_reward,success,episode_length,min_velocity,avg_velocity,max_velocity,min_eef_height,avg_eef_height,max_eef_height,condition
libero_object,0,0,1.0,1.0,True,273,0.0,0.00804944716647705,0.30816368781051945,0.04634625658515466,0.164220154392202,0.3121035000800082,smolvla-slow-prepend
libero_object,0,1,0.0,0.0,False,280,0.0,0.005794196489207464,0.013036300215975571,0.07271024992137577,0.12426343568197921,0.260642389387022,smolvla-slow-prepend
libero_object,0,2,1.0,1.0,True,147,0.0,0.010442606008159277,0.296854577091673,0.04369778415292641,0.21374678219674179,0.3154003554384387,smolvla-slow-prepend
libero_object,0,3,0.0,0.0,False,280,0.0,0.006981650550481594,0.013356837196780326,0.045435472299000496,0.19730217711513567,0.3113544501886034,smolvla-slow-prepend
libero_object,0,4,1.0,1.0,True,208,0.0,0.007232854768614911,0.01299126685362981,0.06193692660263109,0.18681063273516957,0.30206445763314765,smolvla-slow-prepend
libero_object,1,0,1.0,1.0,True,133,0.0,0.010184142901615368,0.3193873103856212,0.008767246641112905,0.185998911917572,0.2714616727838117,smolvla-slow-prepend
libero_object,1,1,1.0,1.0,True,153,0.0,0.007542401785333316,0.012787089671770994,0.012266930563243433,0.15442763144286442,0.277249039779202,smolvla-slow-prepend
libero_object,1,2,1.0,1.0,True,128,0.0,0.007920621952267512,0.013012702959044027,0.008931009237370391,0.17196710340113677,0.2750525968494405,smolvla-slow-prepend
libero_object,1,3,1.0,1.0,True,124,0.0,0.010308688945566736,0.30031813062793455,0.008443178149919434,0.16728971925262312,0.26127947572964005,smolvla-slow-prepend
libero_object,1,4,0.0,0.0,False,280,0.0,0.004329021682178495,0.011154154936725221,0.009822983408415295,0.18735995905955538,0.2613486059266585,smolvla-slow-prepend
libero_object,2,0,1.0,1.0,True,115,0.0,0.010547642220246867,0.28941190179865556,0.11352281058761908,0.2317480107528422,0.31898451617224605,smolvla-slow-prepend
libero_object,2,1,1.0,1.0,True,117,0.0,0.008213677400536244,0.012052852440803357,0.11175332801329163,0.23848851553202768,0.3321966794865393,smolvla-slow-prepend
libero_object,2,2,1.0,1.0,True,117,0.0,0.01013635483273233,0.30094277079095294,0.11193821878755293,0.22263567171362758,0.31196517272145746,smolvla-slow-prepend
libero_object,2,3,0.0,0.0,False,280,0.0,0.006038936494601772,0.012714059864505842,0.05328418334754731,0.14694067733510222,0.2753758086804615,smolvla-slow-prepend
libero_object,2,4,1.0,1.0,True,118,0.0,0.010476710027724151,0.28069353544929243,0.1143675780180642,0.2374220691235636,0.33706531765226466,smolvla-slow-prepend
